,,,,,3,2,1,-1
6FPQ,0.82,1,Plunge into tasks with all my heart.,Achievement-Striving,3,8,"7,1",9
6FPQ,0.82,1,Excel in what I do.,Achievement-Striving,,,,
6FPQ,0.82,1,Do more than what's expected of me.,Achievement-Striving,,,,
6FPQ,0.82,1,Accomplish a lot of work.,Achievement-Striving,,,,
6FPQ,0.82,1,Do a lot in my spare time.,Achievement-Striving,,,,
6FPQ,0.82,-1,Hang around doing nothing.,Achievement-Striving,,,,
6FPQ,0.82,-1,Need a push to get started.,Achievement-Striving,,,,
6FPQ,0.82,-1,Do just enough work to get by.,Achievement-Striving,,,,
6FPQ,0.82,-1,Find it difficult to get down to work.,Achievement-Striving,,,,
6FPQ,0.82,-1,Shirk my duties.,Achievement-Striving,,,,
HPI-HIC,0.70,1,Accept challenging tasks.,Achievement-striving,,,,
HPI-HIC,0.70,1,Am good at many things.,Achievement-striving,,,,
HPI-HIC,0.70,1,Feel up to any task.,Achievement-striving,,,,
HPI-HIC,0.70,-1,Am not highly motivated to succeed.,Achievement-striving,,,,
HPI-HIC,0.70,-1,Do just enough work to get by.,Achievement-striving,,,,
HPI-HIC,0.70,-1,Undertake few things on my own.,Achievement-striving,,,,
MPQ,0.79,1,Plunge into tasks with all my heart.,Achievement-Striving,,,,
MPQ,0.79,1,Work hard.,Achievement-Striving,,,,
MPQ,0.79,1,Continue until everything is perfect.,Achievement-Striving,,,,
MPQ,0.79,1,Do more than what's expected of me.,Achievement-Striving,,,,
MPQ,0.79,1,Work too much.,Achievement-Striving,,,,
MPQ,0.79,1,Excel in what I do.,Achievement-Striving,,,,
MPQ,0.79,-1,Am not highly motivated to succeed.,Achievement-Striving,,,,
MPQ,0.79,-1,Have a slow pace to my life.,Achievement-Striving,,,,
MPQ,0.79,-1,Do too little work.,Achievement-Striving,,,,
MPQ,0.79,-1,Do just enough work to get by.,Achievement-Striving,,,,
NEO,0.78,1,Go straight for the goal.,Achievement-Striving,,,,
NEO,0.78,1,Plunge into tasks with all my heart.,Achievement-Striving,,,,
NEO,0.78,1,Demand quality.,Achievement-Striving,,,,
NEO,0.78,1,Set high standards for myself and others.,Achievement-Striving,,,,
NEO,0.78,1,Turn plans into actions.,Achievement-Striving,,,,
NEO,0.78,1,Do more than what's expected of me.,Achievement-Striving,,,,
NEO,0.78,1,Work hard.,Achievement-Striving,,,,
NEO,0.78,-1,Do just enough work to get by.,Achievement-Striving,,,,
NEO,0.78,-1,Am not highly motivated to succeed.,Achievement-Striving,,,,
NEO,0.78,-1,Put little time and effort into my work.,Achievement-Striving,,,,
TCI,0.78,1,Try to lead others.,Achievement-Striving,,,,
TCI,0.78,1,Try to outdo others.,Achievement-Striving,,,,
TCI,0.78,1,Never give up.,Achievement-Striving,,,,
TCI,0.78,1,Go straight for the goal.,Achievement-Striving,,,,
TCI,0.78,1,Try to surpass others' accomplishments.,Achievement-Striving,,,,
TCI,0.78,1,Take control of things.,Achievement-Striving,,,,
TCI,0.78,1,Want to be in charge.,Achievement-Striving,,,,
TCI,0.78,1,Want to be the very best.,Achievement-Striving,,,,
TCI,0.78,1,Continue until everything is perfect.,Achievement-Striving,,,,
TCI,0.78,-1,Am not highly motivated to succeed.,Achievement-Striving,,,,
JPI,0.81,1,Can manage many things at the same time.,Activity-Level,7,8,5,9
JPI,0.81,1,Accomplish a lot of work.,Activity-Level,,,,
JPI,0.81,1,Am always on the go.,Activity-Level,,,,
JPI,0.81,1,Am always busy.,Activity-Level,,,,
JPI,0.81,1,Do a lot in my spare time.,Activity-Level,,,,
JPI,0.81,-1,Hang around doing nothing.,Activity-Level,,,,
JPI,0.81,-1,Need a push to get started.,Activity-Level,,,,
JPI,0.81,-1,Am easily discouraged.,Activity-Level,,,,
JPI,0.81,-1,Do too little work.,Activity-Level,,,,
JPI,0.81,-1,Have a slow pace to my life.,Activity-Level,,,,
NEO,0.71,1,Am always on the go.,Activity-Level,,,,
NEO,0.71,1,Am always busy.,Activity-Level,,,,
NEO,0.71,1,React quickly.,Activity-Level,,,,
NEO,0.71,1,Can manage many things at the same time.,Activity-Level,,,,
NEO,0.71,1,Do a lot in my spare time.,Activity-Level,,,,
NEO,0.71,-1,React slowly.,Activity-Level,,,,
NEO,0.71,-1,Like to take my time.,Activity-Level,,,,
NEO,0.71,-1,Like a leisurely lifestyle.,Activity-Level,,,,
NEO,0.71,-1,Like to take it easy.,Activity-Level,,,,
NEO,0.71,-1,Let things proceed at their own pace.,Activity-Level,,,,
6FPQ,0.67,1,Am good at taking advice.,Adaptability,9,,,8
6FPQ,0.67,1,Adapt easily to new situations.,Adaptability,,,,
6FPQ,0.67,1,Can stand criticism.,Adaptability,,,,
6FPQ,0.67,-1,Put down others' proposals.,Adaptability,,,,
6FPQ,0.67,-1,Want to have the last word.,Adaptability,,,,
6FPQ,0.67,-1,Am a bad loser.,Adaptability,,,,
6FPQ,0.67,-1,Don't tolerate critics.,Adaptability,,,,
6FPQ,0.67,-1,Can't stand being contradicted.,Adaptability,,,,
Span2002,0.78,1,Find it difficult to organize tasks and activities.,ADHD,7,4,,6
Span2002,0.78,1,Find it difficult to sit still for long periods of time.,ADHD,,,,
Span2002,0.78,1,Feel restless a lot of the time.,ADHD,,,,
Span2002,0.78,1,Don't enjoy doing quiet leisure activities.,ADHD,,,,
Span2002,0.78,1,Am often fidgety.,ADHD,,,,
Span2002,0.78,1,Begin to answer before the other person finishes the question.,ADHD,,,,
Span2002,0.78,1,Forget things.,ADHD,,,,
Span2002,0.78,1,Don't finish the things that I start.,ADHD,,,,
Span2002,0.78,1,Have difficulty keeping my attention on a task.,ADHD,,,,
Span2002,0.78,1,Make careless mistakes.,ADHD,,,,
Span2002,0.78,1,Don't pay enough attention when others are speaking to me.,ADHD,,,,
Span2002,0.78,1,Have been told I'm not listening when others are speaking to me.,ADHD,,,,
6FPQ,0.70,1,Would like to live for awhile in a different country.,Adventurousness,7,8,3,"6,9"
6FPQ,0.70,1,Seek adventure.,Adventurousness,,,,
6FPQ,0.70,1,Try to do too difficult things.,Adventurousness,,,,
6FPQ,0.70,1,Like to visit new places.,Adventurousness,,,,
6FPQ,0.70,-1,Would never go hang-gliding or bungee-jumping.,Adventurousness,,,,
6FPQ,0.70,-1,Am attached to conventional ways.,Adventurousness,,,,
6FPQ,0.70,-1,Dislike changes.,Adventurousness,,,,
6FPQ,0.70,-1,Dislike the unknown.,Adventurousness,,,,
6FPQ,0.70,-1,Don't like to travel.,Adventurousness,,,,
6FPQ,0.70,-1,Am a creature of habit.,Adventurousness,,,,
CPI,0.71,1,Try out new things.,Adventurousness,,,,
CPI,0.71,1,Have a lot of fun.,Adventurousness,,,,
CPI,0.71,1,Let myself go.,Adventurousness,,,,
CPI,0.71,1,Amuse my friends.,Adventurousness,,,,
CPI,0.71,1,Am open to change.,Adventurousness,,,,
CPI,0.71,1,Believe that I am important.,Adventurousness,,,,
CPI,0.71,-1,Dislike changes.,Adventurousness,,,,
CPI,0.71,-1,Am the last to laugh at a joke.,Adventurousness,,,,
CPI,0.71,-1,Hate surprises.,Adventurousness,,,,
CPI,0.71,-1,Seldom joke around.,Adventurousness,,,,
NEO,0.77,1,Like to visit new places.,Adventurousness,,,,
NEO,0.77,1,Interested in many things.,Adventurousness,,,,
NEO,0.77,1,Prefer variety to routine.,Adventurousness,,,,
NEO,0.77,1,Like to begin new things.,Adventurousness,,,,
NEO,0.77,-1,Don't like the idea of change.,Adventurousness,,,,
NEO,0.77,-1,Prefer to stick with things that I know.,Adventurousness,,,,
NEO,0.77,-1,Dislike changes.,Adventurousness,,,,
NEO,0.77,-1,Am a creature of habit.,Adventurousness,,,,
NEO,0.77,-1,Am attached to conventional ways.,Adventurousness,,,,
NEO,0.77,-1,Dislike new foods.,Adventurousness,,,,
ORVIS,0.82,1,Be a professional athlete,Adventurousness,,,,
ORVIS,0.82,1,Engage in exciting adventures,Adventurousness,,,,
ORVIS,0.82,1,Survive in the wilderness,Adventurousness,,,,
ORVIS,0.82,1,Be a racing car driver,Adventurousness,,,,
ORVIS,0.82,1,Face physical danger,Adventurousness,,,,
ORVIS,0.82,1,Be a military officer,Adventurousness,,,,
ORVIS,0.82,1,Compete in athletic events,Adventurousness,,,,
ORVIS,0.82,1,Be a bounty hunter,Adventurousness,,,,
ORVIS,0.82,1,Be a long-distance bicycle rider,Adventurousness,,,,
ORVIS,0.82,1,Be a police officer,Adventurousness,,,,
BFAS,0.78,1,Enjoy the beauty of nature.,Aesthetic Appreciation/Artistic Interests,4,,,
BFAS,0.78,1,Believe in the importance of art.,Aesthetic Appreciation/Artistic Interests,,,,
BFAS,0.78,1,Love to reflect on things.,Aesthetic Appreciation/Artistic Interests,,,,
BFAS,0.78,1,Get deeply immersed in music.,Aesthetic Appreciation/Artistic Interests,,,,
BFAS,0.78,1,See beauty in things that others might not notice.,Aesthetic Appreciation/Artistic Interests,,,,
BFAS,0.78,1,Need a creative outlet.,Aesthetic Appreciation/Artistic Interests,,,,
BFAS,0.78,-1,Do not like poetry.,Aesthetic Appreciation/Artistic Interests,,,,
BFAS,0.78,-1,Seldom get lost in thought.,Aesthetic Appreciation/Artistic Interests,,,,
BFAS,0.78,-1,Seldom daydream.,Aesthetic Appreciation/Artistic Interests,,,,
BFAS,0.78,-1,Seldom notice the emotional aspects of paintings and pictures.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,1,Believe in the importance of art.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,1,Get deeply immersed in music.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,1,See beauty in things that others might not notice.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,1,"Enjoy feeling ""close to the earth.""",Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,1,Have read the great literary classics.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,-1,Do not like art.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,-1,Seldom notice the emotional aspects of paintings and pictures.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,-1,Do not like poetry.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,-1,Do not like concerts.,Aesthetic Appreciation/Artistic Interests,,,,
HEXACO_PI,0.83,-1,Do not enjoy watching dance performances.,Aesthetic Appreciation/Artistic Interests,,,,
HPI-HIC,0.77,1,Believe in the importance of art.,Aesthetic Appreciation/Artistic Interests,,,,
HPI-HIC,0.77,1,Like music.,Aesthetic Appreciation/Artistic Interests,,,,
HPI-HIC,0.77,1,See beauty in things that others might not notice.,Aesthetic Appreciation/Artistic Interests,,,,
HPI-HIC,0.77,-1,Do not like poetry.,Aesthetic Appreciation/Artistic Interests,,,,
HPI-HIC,0.77,-1,Do not enjoy going to art museums.,Aesthetic Appreciation/Artistic Interests,,,,
HPI-HIC,0.77,-1,Do not like concerts.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,1,Love flowers.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,1,Like music.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,1,See beauty in things that others might not notice.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,1,Believe in the importance of art.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,1,Enjoy the beauty of nature.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,-1,Do not like poetry.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,-1,Do not enjoy watching dance performances.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,-1,Do not enjoy going to art museums.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,-1,Do not like art.,Aesthetic Appreciation/Artistic Interests,,,,
NEO,0.84,-1,Do not like concerts.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,1,Feel it's important to live in a world of beauty.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,1,Can become tearful thinking of the goodness of others.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,1,Experience deep emotions when I see beautiful things.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,1,Have been left speechless by the beauty depicted in a movie.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,1,Appreciate all forms of art.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,1,Am in awe of simple things in life that others might take for granted.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,1,Crave the experience of great art.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,0,Have not created something of beauty in the last year.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,0,Am rarely aware of the natural beauty in the environment.,Aesthetic Appreciation/Artistic Interests,,,,
VIA,0.77,-1,Fail to notice beauty until others comment on it.,Aesthetic Appreciation/Artistic Interests,,,,
CAT-PD,"0.83,0.86",1,Have frequent mood swings.,Affective Lability,4,,,1
CAT-PD,"0.83,0.86",1,Lose control over my behavior when I'm emotional.,Affective Lability,,,,
CAT-PD,"0.83,0.86",1,Have unpredictable emotions and moods.,Affective Lability,,,,
CAT-PD,"0.83,0.86",1,Overreact to every little thing in life.,Affective Lability,,,,
CAT-PD,"0.83,0.86",-1,Know how to cope.,Affective Lability,,,,
CAT-PD,"0.83,0.86",-1,Can remain cool-headed when stressed out.,Affective Lability,,,,
6FPQ,0.73,1,Tolerate a lot from others.,Agreeableness,9,2,,1
6FPQ,0.73,1,Accept people as they are.,Agreeableness,,,,
6FPQ,0.73,1,Try to forgive and forget.,Agreeableness,,,,
6FPQ,0.73,1,Am inclined to forgive others.,Agreeableness,,,,
6FPQ,0.73,1,Am not disturbed by events.,Agreeableness,,,,
6FPQ,0.73,1,Take things as they come.,Agreeableness,,,,
6FPQ,0.73,-1,Get back at others.,Agreeableness,,,,
6FPQ,0.73,-1,Am annoyed by others' mistakes.,Agreeableness,,,,
6FPQ,0.73,-1,Hold a grudge.,Agreeableness,,,,
6FPQ,0.73,-1,Am easily offended.,Agreeableness,,,,
7FACTOR,0.77,1,Feel others' emotions.,Agreeableness,,,,
7FACTOR,0.77,1,Have a soft heart.,Agreeableness,,,,
7FACTOR,0.77,1,Am concerned about others.,Agreeableness,,,,
7FACTOR,0.77,1,Sympathize with others' feelings.,Agreeableness,,,,
7FACTOR,0.77,1,Make people feel at ease.,Agreeableness,,,,
7FACTOR,0.77,-1,Take advantage of others.,Agreeableness,,,,
7FACTOR,0.77,-1,Put people under pressure.,Agreeableness,,,,
7FACTOR,0.77,-1,Insult people.,Agreeableness,,,,
7FACTOR,0.77,-1,Am not interested in other people's problems.,Agreeableness,,,,
7FACTOR,0.77,-1,Find fault with everything.,Agreeableness,,,,
BFAS-20,0.88,1,Am interested in people.,Agreeableness,,,,
BFAS-20,0.88,1,Sympathize with others' feelings.,Agreeableness,,,,
BFAS-20,0.88,1,Have a soft heart.,Agreeableness,,,,
BFAS-20,0.88,1,Take time out for others.,Agreeableness,,,,
BFAS-20,0.88,1,Feel others' emotions.,Agreeableness,,,,
BFAS-20,0.88,1,Make people feel at ease.,Agreeableness,,,,
BFAS-20,0.88,1,Inquire about others' well-being.,Agreeableness,,,,
BFAS-20,0.88,1,Know how to comfort others.,Agreeableness,,,,
BFAS-20,0.88,1,Love children.,Agreeableness,,,,
BFAS-20,0.88,1,Am on good terms with nearly everyone.,Agreeableness,,,,
BFAS-20,0.88,1,Have a good word for everyone.,Agreeableness,,,,
BFAS-20,0.88,1,Show my gratitude.,Agreeableness,,,,
BFAS-20,0.88,1,Think of others first.,Agreeableness,,,,
BFAS-20,0.88,1,Love to help others.,Agreeableness,,,,
BFAS-20,0.88,-1,Am not interested in other people's problems.,Agreeableness,,,,
BFAS-20,0.88,-1,Feel little concern for others.,Agreeableness,,,,
BFAS-20,0.88,-1,Am not really interested in others.,Agreeableness,,,,
BFAS-20,0.88,-1,Am hard to get to know.,Agreeableness,,,,
BFAS-20,0.88,-1,Am indifferent to the feelings of others.,Agreeableness,,,,
BIG5,0.88,1,Am interested in people.,Agreeableness,,,,
BIG5,0.88,1,Sympathize with others' feelings.,Agreeableness,,,,
BIG5,0.88,1,Have a soft heart.,Agreeableness,,,,
BIG5,0.88,1,Take time out for others.,Agreeableness,,,,
BIG5,0.88,1,Feel others' emotions.,Agreeableness,,,,
BIG5,0.88,1,Make people feel at ease.,Agreeableness,,,,
BIG5,0.88,1,Inquire about others' well-being.,Agreeableness,,,,
BIG5,0.88,1,Know how to comfort others.,Agreeableness,,,,
BIG5,0.88,1,Love children.,Agreeableness,,,,
BIG5,0.88,1,Am on good terms with nearly everyone.,Agreeableness,,,,
BIG5,0.88,1,Have a good word for everyone.,Agreeableness,,,,
BIG5,0.88,1,Show my gratitude.,Agreeableness,,,,
BIG5,0.88,1,Think of others first.,Agreeableness,,,,
BIG5,0.88,1,Love to help others.,Agreeableness,,,,
BIG5,0.88,-1,Am not interested in other people's problems.,Agreeableness,,,,
BIG5,0.88,-1,Feel little concern for others.,Agreeableness,,,,
BIG5,0.88,-1,Am not really interested in others.,Agreeableness,,,,
BIG5,0.88,-1,Am hard to get to know.,Agreeableness,,,,
BIG5,0.88,-1,Am indifferent to the feelings of others.,Agreeableness,,,,
NEO5-20,0.85,1,Have a good word for everyone.,Agreeableness,,,,
NEO5-20,0.85,1,Believe that others have good intentions.,Agreeableness,,,,
NEO5-20,0.85,1,Respect others.,Agreeableness,,,,
NEO5-20,0.85,1,Accept people as they are.,Agreeableness,,,,
NEO5-20,0.85,1,Make people feel at ease.,Agreeableness,,,,
NEO5-20,0.85,1,Am concerned about others.,Agreeableness,,,,
NEO5-20,0.85,1,Trust what people say.,Agreeableness,,,,
NEO5-20,0.85,1,Sympathize with others' feelings.,Agreeableness,,,,
NEO5-20,0.85,1,Am easy to satisfy.,Agreeableness,,,,
NEO5-20,0.85,1,Treat all people equally.,Agreeableness,,,,
NEO5-20,0.85,-1,Have a sharp tongue.,Agreeableness,,,,
NEO5-20,0.85,-1,Cut others to pieces.,Agreeableness,,,,
NEO5-20,0.85,-1,Suspect hidden motives in others.,Agreeableness,,,,
NEO5-20,0.85,-1,Get back at others.,Agreeableness,,,,
NEO5-20,0.85,-1,Insult people.,Agreeableness,,,,
NEO5-20,0.85,-1,Believe that I am better than others.,Agreeableness,,,,
NEO5-20,0.85,-1,Contradict others.,Agreeableness,,,,
NEO5-20,0.85,-1,Make demands on others.,Agreeableness,,,,
NEO5-20,0.85,-1,Hold a grudge.,Agreeableness,,,,
NEO5-20,0.85,-1,Am out for my own personal gain.,Agreeableness,,,,
NEO,0.77,1,Anticipate the needs of others.,Altruism,2,9,,3
NEO,0.77,1,Love to help others.,Altruism,,,,
NEO,0.77,1,Have a good word for everyone.,Altruism,,,,
NEO,0.77,1,Make people feel welcome.,Altruism,,,,
NEO,0.77,1,Am concerned about others.,Altruism,,,,
NEO,0.77,-1,Am indifferent to the feelings of others.,Altruism,,,,
NEO,0.77,-1,Turn my back on others.,Altruism,,,,
NEO,0.77,-1,Make people feel uncomfortable.,Altruism,,,,
NEO,0.77,-1,Look down on others.,Altruism,,,,
NEO,0.77,-1,Take no time for others.,Altruism,,,,
ORVIS,0.86,1,Help others learn new ideas,Altruism,,,,
ORVIS,0.86,1,Care for sick people,Altruism,,,,
ORVIS,0.86,1,Be an elementary-school teacher,Altruism,,,,
ORVIS,0.86,1,Be a social worker,Altruism,,,,
ORVIS,0.86,1,"Be a minister, priest, rabbi or other religious teacher",Altruism,,,,
ORVIS,0.86,1,Counsel persons who need help,Altruism,,,,
ORVIS,0.86,1,Instruct parents on child care,Altruism,,,,
ORVIS,0.86,1,Be a doctor or nurse,Altruism,,,,
ORVIS,0.86,1,Be a physical therapist,Altruism,,,,
ORVIS,0.86,1,Provide comfort and support to others,Altruism,,,,
ORVIS,0.86,1,Participate in charity events,Altruism,,,,
ORVIS,0.86,1,Help people make career decisions,Altruism,,,,
ORVIS,0.86,1,Be a counselor or therapist,Altruism,,,,
BIS_BAS,0.77,1,Like to show off my body.,Ambition/Drive,3,8,,9
BIS_BAS,0.77,1,Take charge.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Know how to get around the rules.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Try to surpass others' accomplishments.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Push myself very hard to succeed.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Have a strong need for power.,Ambition/Drive,,,,
BIS_BAS,0.77,1,Want to be in charge.,Ambition/Drive,,,,
BIS_BAS,0.77,-1,Am not highly motivated to succeed.,Ambition/Drive,,,,
BIS_BAS,0.77,-1,Hate being the center of attention.,Ambition/Drive,,,,
BIS_BAS,0.77,-1,Am not an extraordinary person.,Ambition/Drive,,,,
CPI,0.83,1,Seldom get mad.,Amiability,9,2,,"4,6"
CPI,0.83,1,Seldom take offense.,Amiability,,,,
CPI,0.83,1,Rarely get irritated.,Amiability,,,,
CPI,0.83,1,Rarely complain.,Amiability,,,,
CPI,0.83,1,Am not easily annoyed.,Amiability,,,,
CPI,0.83,-1,Am often in a bad mood.,Amiability,,,,
CPI,0.83,-1,Have days when I'm mad at the world.,Amiability,,,,
CPI,0.83,-1,Get out of control.,Amiability,,,,
CPI,0.83,-1,Suspect hidden motives in others.,Amiability,,,,
CPI,0.83,-1,Get angry easily.,Amiability,,,,
BFAS,0.89,1,Get angry easily.,Anger,8,4,,9
BFAS,0.89,1,Get upset easily.,Anger,,,,
BFAS,0.89,1,Change my mood a lot.,Anger,,,,
BFAS,0.89,1,Am a person whose moods go up and down easily.,Anger,,,,
BFAS,0.89,1,Get easily agitated.,Anger,,,,
BFAS,0.89,1,Can be stirred up easily.,Anger,,,,
BFAS,0.89,-1,Rarely get irritated.,Anger,,,,
BFAS,0.89,-1,Keep my emotions under control.,Anger,,,,
BFAS,0.89,-1,Rarely lose my composure.,Anger,,,,
BFAS,0.89,-1,Am not easily annoyed.,Anger,,,,
CAT-PD,"0.83,0.85",1,Get angry easily.,Anger,,,,
CAT-PD,"0.83,0.85",1,Often feel overwhelmed with rage.,Anger,,,,
CAT-PD,"0.83,0.85",1,Get irritated easily.,Anger,,,,
CAT-PD,"0.83,0.85",1,Have a violent temper.,Anger,,,,
CAT-PD,"0.83,0.85",-1,Am not easily annoyed.,Anger,,,,
CAT-PD,"0.83,0.85",-1,Don't let little things anger me.,Anger,,,,
NEO,0.88,1,Get irritated easily.,Anger,,,,
NEO,0.88,1,Am often in a bad mood.,Anger,,,,
NEO,0.88,1,Get angry easily.,Anger,,,,
NEO,0.88,1,Lose my temper.,Anger,,,,
NEO,0.88,1,Get upset easily.,Anger,,,,
NEO,0.88,-1,Am not easily annoyed.,Anger,,,,
NEO,0.88,-1,Rarely get irritated.,Anger,,,,
NEO,0.88,-1,Seldom get mad.,Anger,,,,
NEO,0.88,-1,Keep my cool.,Anger,,,,
NEO,0.88,-1,Rarely complain.,Anger,,,,
CAT-PD,"0.84,0.89",1,Find nothing excites me.,Anhedonia,5,6,,4
CAT-PD,"0.84,0.89",1,Feel that nothing seems to make me feel good.,Anhedonia,,,,
CAT-PD,"0.84,0.89",1,Am not a joyful person.,Anhedonia,,,,
CAT-PD,"0.84,0.89",1,Have trouble getting interested in things.,Anhedonia,,,,
CAT-PD,"0.84,0.89",-1,Have a lot of fun.,Anhedonia,,,,
CAT-PD,"0.84,0.89",-1,Am an energetic person.,Anhedonia,,,,
16PF,0.80,1,Am afraid that I will do the wrong thing.,Anxiety,6,,4,"9,1"
16PF,0.80,1,Feel threatened easily.,Anxiety,,,,
16PF,0.80,1,Am easily hurt.,Anxiety,,,,
16PF,0.80,1,Worry about things.,Anxiety,,,,
16PF,0.80,1,Spend time thinking about past mistakes.,Anxiety,,,,
16PF,0.80,1,"Feel guilty when I say ""no.""",Anxiety,,,,
16PF,0.80,1,Feel crushed by setbacks.,Anxiety,,,,
16PF,0.80,-1,Don't worry about things that have already happened.,Anxiety,,,,
16PF,0.80,-1,Am not easily bothered by things.,Anxiety,,,,
16PF,0.80,-1,Don't let others discourage me.,Anxiety,,,,
BFAS,0.84,1,Am filled with doubts about things.,Anxiety,,,,
BFAS,0.84,1,Feel threatened easily.,Anxiety,,,,
BFAS,0.84,1,Worry about things.,Anxiety,,,,
BFAS,0.84,1,Am easily discouraged.,Anxiety,,,,
BFAS,0.84,1,Become overwhelmed by events.,Anxiety,,,,
BFAS,0.84,1,Am afraid of many things.,Anxiety,,,,
BFAS,0.84,-1,Seldom feel blue.,Anxiety,,,,
BFAS,0.84,-1,Feel comfortable with myself.,Anxiety,,,,
BFAS,0.84,-1,Rarely feel depressed.,Anxiety,,,,
BFAS,0.84,-1,Am not embarrassed easily.,Anxiety,,,,
BIS_BAS,1994.00,1,Get stressed out easily.,Anxiety,,,,
BIS_BAS,1994.00,1,Am easily hurt.,Anxiety,,,,
BIS_BAS,1994.00,1,Am afraid that I will do the wrong thing.,Anxiety,,,,
BIS_BAS,1994.00,1,Often worry about things that turn out to be unimportant.,Anxiety,,,,
BIS_BAS,1994.00,1,Worry about what people think of me.,Anxiety,,,,
BIS_BAS,1994.00,1,Begin to panic when there is danger.,Anxiety,,,,
BIS_BAS,1994.00,1,Become overwhelmed by events.,Anxiety,,,,
BIS_BAS,1994.00,1,Am always worried about something.,Anxiety,,,,
BIS_BAS,1994.00,-1,Rarely worry.,Anxiety,,,,
BIS_BAS,1994.00,-1,Am not embarrassed easily.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Feel my anxiety overwhelms me.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Am nervous or tense most of the time.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Panic easily.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Feel that my worry and anxiety is out of control.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Am generally a fearful person.,Anxiety,,,,
CAT-PD,"0.83,0.85",1,Am easily startled.,Anxiety,,,,
CAT-PD,"0.83,0.85",-1,Rarely worry.,Anxiety,,,,
HEXACO_PI,0.85,1,Get stressed out easily.,Anxiety,,,,
HEXACO_PI,0.85,1,Worry about things.,Anxiety,,,,
HEXACO_PI,0.85,1,Panic easily.,Anxiety,,,,
HEXACO_PI,0.85,1,Get upset by unpleasant thoughts that come into my mind.,Anxiety,,,,
HEXACO_PI,0.85,1,Often worry about things that turn out to be unimportant.,Anxiety,,,,
HEXACO_PI,0.85,-1,Remain calm under pressure.,Anxiety,,,,
