,,,,,3,2,1,-1
HEXACO_PI,0.85,-1,Don't worry about things that have already happened.,Anxiety,,,,
HEXACO_PI,0.85,-1,Rarely feel depressed.,Anxiety,,,,
HEXACO_PI,0.85,-1,Rarely worry.,Anxiety,,,,
HEXACO_PI,0.85,-1,Am not easily disturbed by events.,Anxiety,,,,
JPI,0.87,1,Have frequent mood swings.,Anxiety,,,,
JPI,0.87,1,Often feel blue.,Anxiety,,,,
JPI,0.87,1,Get upset easily.,Anxiety,,,,
JPI,0.87,1,Worry about things.,Anxiety,,,,
JPI,0.87,1,Get stressed out easily.,Anxiety,,,,
JPI,0.87,-1,Seldom feel blue.,Anxiety,,,,
JPI,0.87,-1,Am relaxed most of the time.,Anxiety,,,,
JPI,0.87,-1,Am not easily bothered by things.,Anxiety,,,,
JPI,0.87,-1,Rarely get irritated.,Anxiety,,,,
JPI,0.87,-1,Am not easily frustrated.,Anxiety,,,,
NEO,0.83,1,Am afraid of many things.,Anxiety,,,,
NEO,0.83,1,Get stressed out easily.,Anxiety,,,,
NEO,0.83,1,Get caught up in my problems.,Anxiety,,,,
NEO,0.83,1,Worry about things.,Anxiety,,,,
NEO,0.83,1,Fear for the worst.,Anxiety,,,,
NEO,0.83,-1,Adapt easily to new situations.,Anxiety,,,,
NEO,0.83,-1,Am relaxed most of the time.,Anxiety,,,,
NEO,0.83,-1,Am not easily disturbed by events.,Anxiety,,,,
NEO,0.83,-1,Am not easily bothered by things.,Anxiety,,,,
NEO,0.83,-1,Don't worry about things that have already happened.,Anxiety,,,,
HPI-HIC,0.68,1,Believe appearances are important.,Appearance-Consciousness,4,2,3,1
HPI-HIC,0.68,1,Keep myself well-groomed.,Appearance-Consciousness,,,,
HPI-HIC,0.68,-1,Don't care about dressing nicely.,Appearance-Consciousness,,,,
HPI-HIC,0.68,-1,Pay no attention to my appearance.,Appearance-Consciousness,,,,
ORAIS,0.76,1,Spent more than 10 minutes thinking about what to wear.,Appearance-Consciousness,,,,
ORAIS,0.76,1,Spent more than an hour thinking about what to wear.,Appearance-Consciousness,,,,
ORAIS,0.76,1,Read a fashion-related magazine.,Appearance-Consciousness,,,,
ORAIS,0.76,1,Read a fashion-related book.,Appearance-Consciousness,,,,
ORAIS,0.76,1,Bought a fashionable item of clothing.,Appearance-Consciousness,,,,
16PF,0.81,1,Take charge.,Assertiveness,"1,8",,7,9
16PF,0.81,1,Want to be in charge.,Assertiveness,,,,
16PF,0.81,1,Say what I think.,Assertiveness,,,,
16PF,0.81,1,Am not afraid of providing criticism.,Assertiveness,,,,
16PF,0.81,1,Take control of things.,Assertiveness,,,,
16PF,0.81,1,Can take strong measures.,Assertiveness,,,,
16PF,0.81,-1,Wait for others to lead the way.,Assertiveness,,,,
16PF,0.81,-1,Never challenge things.,Assertiveness,,,,
16PF,0.81,-1,Let others make the decisions.,Assertiveness,,,,
16PF,0.81,-1,Let myself be pushed around.,Assertiveness,,,,
AB5C,0.75,1,Am always busy.,Assertiveness,,,,
AB5C,0.75,1,Come up with a solution right away.,Assertiveness,,,,
AB5C,0.75,1,Try to lead others.,Assertiveness,,,,
AB5C,0.75,1,Do a lot in my spare time.,Assertiveness,,,,
AB5C,0.75,1,Turn plans into actions.,Assertiveness,,,,
AB5C,0.75,1,Know what I want.,Assertiveness,,,,
AB5C,0.75,1,Stick up for myself.,Assertiveness,,,,
AB5C,0.75,1,Automatically take charge.,Assertiveness,,,,
AB5C,0.75,1,Can easily push myself forward.,Assertiveness,,,,
AB5C,0.75,-1,Let myself be pushed around.,Assertiveness,,,,
AB5C,0.75,-1,Am not highly motivated to succeed.,Assertiveness,,,,
AB5C,0.75,-1,Need a lot of time to do things.,Assertiveness,,,,
BFAS,0.85,1,Take charge.,Assertiveness,,,,
BFAS,0.85,1,Have a strong personality.,Assertiveness,,,,
BFAS,0.85,1,Know how to captivate people.,Assertiveness,,,,
BFAS,0.85,1,See myself as a good leader.,Assertiveness,,,,
BFAS,0.85,1,Can talk others into doing things.,Assertiveness,,,,
BFAS,0.85,1,Am the first to act.,Assertiveness,,,,
BFAS,0.85,-1,Do not have an assertive personality.,Assertiveness,,,,
BFAS,0.85,-1,Lack the talent for influencing people.,Assertiveness,,,,
BFAS,0.85,-1,Wait for others to lead the way.,Assertiveness,,,,
BFAS,0.85,-1,Hold back my opinions.,Assertiveness,,,,
CPI,0.82,1,Impose my will on others.,Assertiveness,,,,
CPI,0.82,1,Challenge others' points of view.,Assertiveness,,,,
CPI,0.82,1,Am not afraid of providing criticism.,Assertiveness,,,,
CPI,0.82,1,Want to control the conversation.,Assertiveness,,,,
CPI,0.82,1,Put people under pressure.,Assertiveness,,,,
CPI,0.82,1,Try to surpass others' accomplishments.,Assertiveness,,,,
CPI,0.82,1,Am quick to correct others.,Assertiveness,,,,
CPI,0.82,1,Lay down the law to others.,Assertiveness,,,,
CPI,0.82,1,Demand explanations from others.,Assertiveness,,,,
CPI,0.82,1,Try to outdo others.,Assertiveness,,,,
CPI,0.82,-1,Hate to seem pushy.,Assertiveness,,,,
MPQ,0.85,1,Am good at making impromptu speeches.,Assertiveness,,,,
MPQ,0.85,1,See myself as a good leader.,Assertiveness,,,,
MPQ,0.85,1,Have a natural talent for influencing people.,Assertiveness,,,,
MPQ,0.85,1,Take charge.,Assertiveness,,,,
MPQ,0.85,1,Can talk others into doing things.,Assertiveness,,,,
MPQ,0.85,-1,Have little to say.,Assertiveness,,,,
MPQ,0.85,-1,Don't like to draw attention to myself.,Assertiveness,,,,
MPQ,0.85,-1,Find it difficult to manipulate others.,Assertiveness,,,,
MPQ,0.85,-1,Lack the talent for influencing people.,Assertiveness,,,,
MPQ,0.85,-1,Keep in the background.,Assertiveness,,,,
NEO,0.84,1,Take charge.,Assertiveness,,,,
NEO,0.84,1,Can talk others into doing things.,Assertiveness,,,,
NEO,0.84,1,Try to lead others.,Assertiveness,,,,
NEO,0.84,1,Take control of things.,Assertiveness,,,,
NEO,0.84,1,Seek to influence others.,Assertiveness,,,,
NEO,0.84,-1,Hold back my opinions.,Assertiveness,,,,
NEO,0.84,-1,Keep in the background.,Assertiveness,,,,
NEO,0.84,-1,Have little to say.,Assertiveness,,,,
NEO,0.84,-1,Don't like to draw attention to myself.,Assertiveness,,,,
NEO,0.84,-1,Wait for others to lead the way.,Assertiveness,,,,
Barchard2001,"0.81,0.83",1,Think about the causes of my emotions.,Attention to Emotions,4,2,5,3
Barchard2001,"0.81,0.83",1,Pay a lot of attention to my feelings.,Attention to Emotions,,,,
Barchard2001,"0.81,0.83",1,Am usually aware of the way that I'm feeling.,Attention to Emotions,,,,
Barchard2001,"0.81,0.83",1,Notice my emotions.,Attention to Emotions,,,,
Barchard2001,"0.81,0.83",1,Often stop to analyze how I'm feeling.,Attention to Emotions,,,,
Barchard2001,"0.81,0.83",-1,Rarely think about how I feel.,Attention to Emotions,,,,
Barchard2001,"0.81,0.83",-1,Rarely analyze my emotions.,Attention to Emotions,,,,
Barchard2001,"0.81,0.83",-1,Am not in touch with my feelings.,Attention to Emotions,,,,
Barchard2001,"0.81,0.83",-1,Often ignore my feelings.,Attention to Emotions,,,,
Barchard2001,"0.81,0.83",-1,Rarely notice my emotional reactions.,Attention to Emotions,,,,
7FACTOR,0.66,1,Believe that I am important.,Attractiveness,3,2,,
7FACTOR,0.66,1,Keep improving myself.,Attractiveness,,,,
7FACTOR,0.66,1,Like to tidy up.,Attractiveness,,,,
7FACTOR,0.66,1,Keep myself well-groomed.,Attractiveness,,,,
7FACTOR,0.66,1,Get things done quickly.,Attractiveness,,,,
7FACTOR,0.66,-1,Know that I am not a special person.,Attractiveness,,,,
7FACTOR,0.66,-1,Pay no attention to my appearance.,Attractiveness,,,,
7FACTOR,0.66,-1,Don't care about dressing nicely.,Attractiveness,,,,
7FACTOR,0.66,-1,Am not highly motivated to succeed.,Attractiveness,,,,
7FACTOR,0.66,-1,Don't like to get dressed up.,Attractiveness,,,,
BIS_BAS,1994.00,1,Get stressed out easily.,Behavioral Inhibition/Activation System,6,4,2,"3,1"
BIS_BAS,1994.00,1,Am easily hurt.,Behavioral Inhibition/Activation System,,,,
BIS_BAS,1994.00,1,Am afraid that I will do the wrong thing.,Behavioral Inhibition/Activation System,,,,
BIS_BAS,1994.00,1,Often worry about things that turn out to be unimportant.,Behavioral Inhibition/Activation System,,,,
BIS_BAS,1994.00,1,Worry about what people think of me.,Behavioral Inhibition/Activation System,,,,
BIS_BAS,1994.00,1,Begin to panic when there is danger.,Behavioral Inhibition/Activation System,,,,
BIS_BAS,1994.00,1,Become overwhelmed by events.,Behavioral Inhibition/Activation System,,,,
BIS_BAS,1994.00,1,Am always worried about something.,Behavioral Inhibition/Activation System,,,,
BIS_BAS,1994.00,-1,Rarely worry.,Behavioral Inhibition/Activation System,,,,
BIS_BAS,1994.00,-1,Am not embarrassed easily.,Behavioral Inhibition/Activation System,,,,
MPQ,0.77,1,Get back at others.,Belligerence,,"8,3",,9
MPQ,0.77,1,Cheat to get ahead.,Belligerence,,,,
MPQ,0.77,1,Do things out of revenge.,Belligerence,,,,
MPQ,0.77,1,Hold a grudge.,Belligerence,,,,
MPQ,0.77,1,Have a sharp tongue.,Belligerence,,,,
MPQ,0.77,-1,Rarely get irritated.,Belligerence,,,,
MPQ,0.77,-1,Seldom get mad.,Belligerence,,,,
MPQ,0.77,-1,Would never take things that aren't mine.,Belligerence,,,,
MPQ,0.77,-1,Rarely complain.,Belligerence,,,,
MPQ,0.77,-1,Try to forgive and forget.,Belligerence,,,,
VIA,0.75,1,Call for action while others talk.,Bravery/Courage/Valor,8,3,1,"6,9"
VIA,0.75,1,Don't hesitate to express an unpopular opinion.,Bravery/Courage/Valor,,,,
VIA,0.75,1,Can face my fears.,Bravery/Courage/Valor,,,,
VIA,0.75,1,Am a brave person.,Bravery/Courage/Valor,,,,
VIA,0.75,1,Have taken frequent stands in the face of strong opposition.,Bravery/Courage/Valor,,,,
VIA,0.75,1,Speak up in protest when I hear someone say mean things.,Bravery/Courage/Valor,,,,
VIA,0.75,0,Have overcome pain and disappointment.,Bravery/Courage/Valor,,,,
VIA,0.75,-1,Avoid dealing with uncomfortable emotions.,Bravery/Courage/Valor,,,,
VIA,0.75,-1,Don't speak my mind freely when there might be negative results.,Bravery/Courage/Valor,,,,
VIA,0.75,-1,Avoid dealing with awkward situations.,Bravery/Courage/Valor,,,,
VIA,0.75,-1,Do not stand up for my beliefs.,Bravery/Courage/Valor,,,,
CAT-PD,"0.85,0.83",1,Am not a caring person.,Callousness,,3,"5,1","9,2"
CAT-PD,"0.85,0.83",1,Am a cold-hearted person.,Callousness,,,,
CAT-PD,"0.85,0.83",1,Do not care how my actions affect others.,Callousness,,,,
CAT-PD,"0.85,0.83",1,Can't be bothered with others’ needs.,Callousness,,,,
CAT-PD,"0.85,0.83",1,Am not a sympathetic person.,Callousness,,,,
CAT-PD,"0.85,0.83",1,Am indifferent to the feelings of others.,Callousness,,,,
CAT-PD,"0.85,0.83",-1,Care about others.,Callousness,,,,
IPIP-IPC,.,1,Believe people should fend for themselves,Callousness,,,,
IPIP-IPC,.,1,Don't fall for sob-stories,Callousness,,,,
IPIP-IPC,.,1,Don't put a lot of thought into things,Callousness,,,,
IPIP-IPC,.,1,Am not interested in other people's problems,Callousness,,,,
6FPQ,0.87,1,Rarely get irritated.,Calmness,8,4,6,"5,1"
6FPQ,0.87,1,Seldom get mad.,Calmness,,,,
6FPQ,0.87,1,Am not easily annoyed.,Calmness,,,,
6FPQ,0.87,1,Rarely lose my composure.,Calmness,,,,
6FPQ,0.87,1,Rarely complain.,Calmness,,,,
6FPQ,0.87,-1,Snap at people.,Calmness,,,,
6FPQ,0.87,-1,Lose my temper.,Calmness,,,,
6FPQ,0.87,-1,Get angry easily.,Calmness,,,,
6FPQ,0.87,-1,Get upset easily.,Calmness,,,,
6FPQ,0.87,-1,Get irritated easily.,Calmness,,,,
AB5C,0.83,1,Rarely get irritated.,Calmness,,,,
AB5C,0.83,1,Accept people as they are.,Calmness,,,,
AB5C,0.83,1,Take things as they come.,Calmness,,,,
AB5C,0.83,1,Am not easily annoyed.,Calmness,,,,
AB5C,0.83,-1,Have days when I'm mad at the world.,Calmness,,,,
AB5C,0.83,-1,Get angry easily.,Calmness,,,,
AB5C,0.83,-1,Lose my temper.,Calmness,,,,
AB5C,0.83,-1,Get furious.,Calmness,,,,
AB5C,0.83,-1,Snap at people.,Calmness,,,,
AB5C,0.83,-1,Am often in a bad mood.,Calmness,,,,
CPI,0.66,1,Believe in human goodness.,Calmness,,,,
CPI,0.66,1,Am not easily frustrated.,Calmness,,,,
CPI,0.66,1,Am relaxed most of the time.,Calmness,,,,
CPI,0.66,-1,React intensely.,Calmness,,,,
CPI,0.66,-1,Look for hidden meanings in things.,Calmness,,,,
CPI,0.66,-1,Expect things to fail.,Calmness,,,,
CPI,0.66,-1,Have frequent mood swings.,Calmness,,,,
CPI,0.66,-1,Act quickly without thinking.,Calmness,,,,
CPI,0.66,-1,Judge myself more harshly than others do.,Calmness,,,,
CPI,0.66,-1,Blurt out whatever comes into my mind.,Calmness,,,,
HPI,0.76,1,Take things as they come.,Calmness,,,,
HPI,0.76,1,Accept people as they are.,Calmness,,,,
HPI,0.76,1,Seldom take offense.,Calmness,,,,
HPI,0.76,1,Am on good terms with nearly everyone.,Calmness,,,,
HPI,0.76,1,Am easy to satisfy.,Calmness,,,,
HPI,0.76,-1,Hold a grudge.,Calmness,,,,
HPI,0.76,-1,Lose my temper.,Calmness,,,,
HPI,0.76,-1,Have a sharp tongue.,Calmness,,,,
HPI,0.76,-1,Speak ill of others.,Calmness,,,,
HPI,0.76,-1,Am quick to judge others.,Calmness,,,,
HPI-HIC,0.75,1,Remain calm under pressure.,Calmness,,,,
HPI-HIC,0.75,1,Am calm even in tense situations.,Calmness,,,,
HPI-HIC,0.75,1,Keep a cool head.,Calmness,,,,
HPI-HIC,0.79,1,Am relaxed most of the time.,Calmness,,,,
HPI-HIC,0.79,1,Am not easily bothered by things.,Calmness,,,,
HPI-HIC,0.79,1,Don't worry about things that have already happened.,Calmness,,,,
HPI-HIC,0.75,-1,Get upset easily.,Calmness,,,,
HPI-HIC,0.75,-1,Panic easily.,Calmness,,,,
HPI-HIC,0.75,-1,Get overwhelmed by emotions.,Calmness,,,,
HPI-HIC,0.79,-1,Worry about things.,Calmness,,,,
HPI-HIC,0.79,-1,Get stressed out easily.,Calmness,,,,
HPI-HIC,0.79,-1,Get caught up in my problems.,Calmness,,,,
VIA,0.70,1,Am the most important person in someone else's life.,Capacity for Love,"9,2",4,,5
VIA,0.70,1,Know that some others accept my shortcomings.,Capacity for Love,,,,
VIA,0.70,1,Can express love to someone else.,Capacity for Love,,,,
VIA,0.70,1,Know that there are people in my life who care as much for me as for themselves.,Capacity for Love,,,,
VIA,0.70,1,Know someone whom I really care about as a person.,Capacity for Love,,,,
VIA,0.70,1,Am willing to take risks to establish a relationship.,Capacity for Love,,,,
VIA,0.70,0,"Could never stop loving my family and close friends, no matter what they did.",Capacity for Love,,,,
VIA,0.70,-1,Feel isolated from other people.,Capacity for Love,,,,
VIA,0.70,-1,Do not easily share my feelings with others.,Capacity for Love,,,,
VIA,0.70,-1,Have difficulty accepting love from anyone.,Capacity for Love,,,,
AB5C,0.77,1,Never spend more than I can afford.,Cautiousness,6,5,1,"7,8"
AB5C,0.77,1,Tend to dislike impulsive people.,Cautiousness,,,,
AB5C,0.77,1,Never splurge.,Cautiousness,,,,
AB5C,0.77,1,Purchase only practical things.,Cautiousness,,,,
AB5C,0.77,1,Take precautions.,Cautiousness,,,,
AB5C,0.77,-1,Laugh at the slightest provocation.,Cautiousness,,,,
AB5C,0.77,-1,Often make last-minute plans.,Cautiousness,,,,
AB5C,0.77,-1,Do crazy things.,Cautiousness,,,,
AB5C,0.77,-1,Like to act on a whim.,Cautiousness,,,,
AB5C,0.77,-1,Am easily talked into doing silly things.,Cautiousness,,,,
AB5C,0.77,-1,Like to laugh out loud.,Cautiousness,,,,
AB5C,0.77,-1,Jump into things without thinking.,Cautiousness,,,,
NEO,0.76,1,Stick to my chosen path.,Cautiousness,,,,
NEO,0.76,1,Avoid mistakes.,Cautiousness,,,,
NEO,0.76,1,Choose my words with care.,Cautiousness,,,,
NEO,0.76,-1,Make rash decisions.,Cautiousness,,,,
NEO,0.76,-1,Act without thinking.,Cautiousness,,,,
NEO,0.76,-1,Jump into things without thinking.,Cautiousness,,,,
NEO,0.76,-1,Rush into things.,Cautiousness,,,,
NEO,0.76,-1,Like to act on a whim.,Cautiousness,,,,
NEO,0.76,-1,Often make last-minute plans.,Cautiousness,,,,
NEO,0.76,-1,Do crazy things.,Cautiousness,,,,
NEO,0.81,1,Amuse my friends.,Cheerfulness,7,2,4,"5,6"
NEO,0.81,1,Look at the bright side of life.,Cheerfulness,,,,
NEO,0.81,1,Love life.,Cheerfulness,,,,
NEO,0.81,1,Laugh aloud.,Cheerfulness,,,,
NEO,0.81,1,Express childlike joy.,Cheerfulness,,,,
NEO,0.81,1,Radiate joy.,Cheerfulness,,,,
NEO,0.81,1,Laugh my way through life.,Cheerfulness,,,,
NEO,0.81,1,Have a lot of fun.,Cheerfulness,,,,
NEO,0.81,-1,Seldom joke around.,Cheerfulness,,,,
NEO,0.81,-1,Am not easily amused.,Cheerfulness,,,,
CAT-PD,"0.82,0.88",1,Frequently get things mixed up in my head.,Cognitive Problems,7,4,,"1,5,3,6"
CAT-PD,"0.82,0.88",1,Often feel like my thoughts make no sense.,Cognitive Problems,,,,
CAT-PD,"0.82,0.88",1,Often space out and lose track of what's going on.,Cognitive Problems,,,,
CAT-PD,"0.82,0.88",1,Often have disorganized thoughts.,Cognitive Problems,,,,
CAT-PD,"0.82,0.88",1,Am easily disoriented.,Cognitive Problems,,,,
CAT-PD,"0.82,0.88",1,Easily lose my train of thought.,Cognitive Problems,,,,
CAT-PD,"0.82,0.88",-1,Have a good memory for things I've done throughout the day.,Cognitive Problems,,,,
CAT-PD,"0.82,0.88",-1,Formulate ideas clearly.,Cognitive Problems,,,,
BIDR,0.79,1,Get confused easily.,Cognitive-Failures,,6,,"8,7,1,5"
BIDR,0.79,1,Often forget things.,Cognitive-Failures,,,,
BIDR,0.79,1,Spill things.,Cognitive-Failures,,,,
BIDR,0.79,1,Have difficulty keeping things in mind.,Cognitive-Failures,,,,
BIDR,0.79,1,Can't make up my mind.,Cognitive-Failures,,,,
BIDR,0.79,1,Let my attention wander off.,Cognitive-Failures,,,,
BIDR,0.79,-1,Always know why I do things.,Cognitive-Failures,,,,
BIDR,0.79,-1,Remain calm under pressure.,Cognitive-Failures,,,,
BIDR,0.79,-1,Like to take responsibility for making decisions.,Cognitive-Failures,,,,
BIDR,0.79,-1,Pay attention to details.,Cognitive-Failures,,,,
BFAS,0.84,1,Feel others’ emotions.,Compassion,2,9,8,"5,3"
BFAS,0.84,1,Inquire about others’ well-being.,Compassion,,,,
BFAS,0.84,1,Sympathize with others’ feelings.,Compassion,,,,
BFAS,0.84,1,Take an interest in other people’s lives.,Compassion,,,,
BFAS,0.84,1,Like to do things for others.,Compassion,,,,
BFAS,0.84,-1,Am not interested in other people’s problems.,Compassion,,,,
BFAS,0.84,-1,Can’t be bothered with other’s needs.,Compassion,,,,
BFAS,0.84,-1,Am indifferent to the feelings of others.,Compassion,,,,
BFAS,0.84,-1,Take no time for others.,Compassion,,,,
BFAS,0.84,-1,Don’t have a soft side.,Compassion,,,,
TCI,0.72,1,Try to forgive and forget.,Compassion,,,,
TCI,0.72,1,Accept others' weaknesses.,Compassion,,,,
TCI,0.72,1,Am inclined to forgive others.,Compassion,,,,
TCI,0.72,-1,Hold a grudge.,Compassion,,,,
TCI,0.72,-1,Do things out of revenge.,Compassion,,,,
TCI,0.72,-1,Find it hard to forgive others.,Compassion,,,,
TCI,0.72,-1,Get back at others.,Compassion,,,,
TCI,0.72,-1,Get even with others.,Compassion,,,,
TCI,0.72,-1,Get angry easily.,Compassion,,,,
TCI,0.72,-1,Look down on others.,Compassion,,,,
AB5C,0.74,1,Need things explained only once.,Competence,3,"8,6,5",7,9
AB5C,0.74,1,Seek explanations of things.,Competence,,,,
AB5C,0.74,1,Use my brain.,Competence,,,,
AB5C,0.74,1,Excel in what I do.,Competence,,,,
AB5C,0.74,1,Meet challenges.,Competence,,,,
AB5C,0.74,1,Know how to apply my knowledge.,Competence,,,,
AB5C,0.74,1,Look at the facts.,Competence,,,,
AB5C,0.74,1,Learn quickly.,Competence,,,,
CPI,0.74,1,Am full of ideas.,Competence,,,,
CPI,0.74,1,Come up with good solutions.,Competence,,,,
CPI,0.74,1,Know how to apply my knowledge.,Competence,,,,
CPI,0.74,-1,Am easily offended.,Competence,,,,
CPI,0.74,-1,Know that I am not a special person.,Competence,,,,
CPI,0.74,-1,Excel in nothing at all.,Competence,,,,
CPI,0.74,-1,Question my ability to do my work properly.,Competence,,,,
CPI,0.74,-1,Feel crushed by setbacks.,Competence,,,,
CPI,0.74,-1,Am easily hurt.,Competence,,,,
CPI,0.74,-1,Get confused easily.,Competence,,,,
HPI,0.80,1,Come up with good solutions.,Competence,,,,
HPI,0.80,1,Complete tasks successfully.,Competence,,,,
HPI,0.80,1,Carry out my plans.,Competence,,,,
HPI,0.80,1,Accomplish a lot of work.,Competence,,,,
HPI,0.80,1,Get things done quickly.,Competence,,,,
HPI,0.80,-1,Feel that my life lacks direction.,Competence,,,,
HPI,0.80,-1,Am not sure where my life is going.,Competence,,,,
HPI,0.80,-1,Hang around doing nothing.,Competence,,,,
HPI,0.80,-1,Do just enough work to get by.,Competence,,,,
HPI,0.80,-1,Mess things up.,Competence,,,,
TCI,0.75,1,Know how to apply my knowledge.,Competence,,,,
TCI,0.75,1,Meet challenges.,Competence,,,,
TCI,0.75,1,Accept challenging tasks.,Competence,,,,
TCI,0.75,1,Feel up to any task.,Competence,,,,
TCI,0.75,1,Can perform a wide variety of tasks.,Competence,,,,
TCI,0.75,1,Like to solve complex problems.,Competence,,,,
TCI,0.75,-1,Don't see things through.,Competence,,,,
TCI,0.75,-1,Give up easily.,Competence,,,,
TCI,0.75,-1,Don't put my mind on the task at hand.,Competence,,,,
16PF,0.82,1,Believe in the importance of art.,Complexity,5,7,6,
16PF,0.82,1,Love to think up new ways of doing things.,Complexity,,,,
16PF,0.82,1,Enjoy hearing new ideas.,Complexity,,,,
16PF,0.82,1,Carry the conversation to a higher level.,Complexity,,,,
16PF,0.82,1,Prefer variety to routine.,Complexity,,,,
16PF,0.82,-1,Avoid philosophical discussions.,Complexity,,,,
16PF,0.82,-1,Rarely look for a deeper meaning in things.,Complexity,,,,
16PF,0.82,-1,Am not interested in theoretical discussions.,Complexity,,,,
16PF,0.82,-1,Am not interested in abstract ideas.,Complexity,,,,
16PF,0.82,-1,Try to avoid complex people.,Complexity,,,,
CPI,0.73,1,Enjoy thinking about things.,Complexity,,,,
CPI,0.73,1,Engage in discussions.,Complexity,,,,
CPI,0.73,1,Am willing to talk about myself.,Complexity,,,,
CPI,0.73,1,Carry the conversation to a higher level.,Complexity,,,,
CPI,0.73,1,Can see different points of view.,Complexity,,,,
CPI,0.73,1,Understand people who think differently.,Complexity,,,,
CPI,0.73,-1,Do not like concerts.,Complexity,,,,
CPI,0.73,-1,Rarely look for a deeper meaning in things.,Complexity,,,,
CPI,0.73,-1,Am not interested in speculating about things.,Complexity,,,,
CPI,0.73,-1,Dislike new foods.,Complexity,,,,
6FPQ,0.82,1,Find political discussions interesting.,Comprehension,5,1,6,
6FPQ,0.82,1,Have a rich vocabulary.,Comprehension,,,,
6FPQ,0.82,1,Like to read.,Comprehension,,,,
6FPQ,0.82,1,Enjoy discussing movies and books with others.,Comprehension,,,,
6FPQ,0.82,1,Show a mastery of language.,Comprehension,,,,
6FPQ,0.82,1,Spend a lot of time reading.,Comprehension,,,,
6FPQ,0.82,1,Love to read challenging material.,Comprehension,,,,
6FPQ,0.82,-1,Avoid philosophical discussions.,Comprehension,,,,
6FPQ,0.82,-1,Have a poor vocabulary.,Comprehension,,,,
6FPQ,0.82,-1,Avoid difficult reading material.,Comprehension,,,,
CPI,0.80,1,Know the answers to many questions.,Comprehension,,,,
CPI,0.80,1,Love to read challenging material.,Comprehension,,,,
CPI,0.80,1,Like to read.,Comprehension,,,,
CPI,0.80,1,Read quickly.,Comprehension,,,,
CPI,0.80,1,Show a mastery of language.,Comprehension,,,,
CPI,0.80,1,Have a rich vocabulary.,Comprehension,,,,
CPI,0.80,-1,Dislike learning.,Comprehension,,,,
CPI,0.80,-1,Have a poor vocabulary.,Comprehension,,,,
CPI,0.80,-1,Don't understand things.,Comprehension,,,,
CPI,0.80,-1,Skip difficult words while reading.,Comprehension,,,,
HEXACO_PI,0.73,1,Want to be liked.,Conformity/Dependence/Need for approval,"6,2",,,8
HEXACO_PI,0.73,1,Often need help.,Conformity/Dependence/Need for approval,,,,
HEXACO_PI,0.73,1,Need the approval of others.,Conformity/Dependence/Need for approval,,,,
HEXACO_PI,0.73,1,Suspect that my facial expressions give me away when I feel sad.,Conformity/Dependence/Need for approval,,,,
HEXACO_PI,0.73,1,Show my sadness.,Conformity/Dependence/Need for approval,,,,
HEXACO_PI,0.73,1,Need reassurance.,Conformity/Dependence/Need for approval,,,,
HEXACO_PI,0.73,1,Let myself be influenced by others.,Conformity/Dependence/Need for approval,,,,
HEXACO_PI,0.73,1,Seek support.,Conformity/Dependence/Need for approval,,,,
HEXACO_PI,0.73,1,Can't do without the company of others.,Conformity/Dependence/Need for approval,,,,
HEXACO_PI,0.73,1,Need protection.,Conformity/Dependence/Need for approval,,,,
HPI-HIC,0.66,1,Need the approval of others.,Conformity/Dependence/Need for approval,,,,
HPI-HIC,0.66,1,Want to be liked.,Conformity/Dependence/Need for approval,,,,
HPI-HIC,0.66,1,Seek support.,Conformity/Dependence/Need for approval,,,,
HPI-HIC,0.66,1,Don't care what others think.,Conformity/Dependence/Need for approval,,,,
HPI-HIC,0.66,1,Don't care what people think of me.,Conformity/Dependence/Need for approval,,,,
JPI,0.71,1,Need the approval of others.,Conformity/Dependence/Need for approval,,,,
JPI,0.71,1,Do what others do.,Conformity/Dependence/Need for approval,,,,
